env,split,env_id,mean_pnl,max_drawdown,sharpe,turnover,cvar,cvar_lower,cvar_upper,ES95,Mean,SharpeRisk,Turnover
crisis,test,3,-15.442262649536133,162.7816925048828,-0.36425092816352844,10.0,271.4481201171875,249.86998443603517,284.3644027709961,271.4481201171875,15.442262649536133,0.36425092816352844,10.0
low,train,0,4.340815544128418,39.100502014160156,0.28968545794487,11.225907325744629,76.64301300048828,71.54531764984131,81.53702507019042,76.64301300048828,-4.340815544128418,-0.28968545794487,11.225907325744629
med,train,1,-5.196920871734619,73.50556945800781,-0.04530054330825806,10.773635864257812,154.0314178466797,144.68425292968752,164.06327438354492,154.0314178466797,5.196920871734619,0.04530054330825806,10.773635864257812
high,val,2,-3.748659133911133,98.246826171875,-0.1333976536989212,10.181733131408691,180.0432891845703,165.31348266601563,191.07966423034668,180.0432891845703,3.748659133911133,0.1333976536989212,10.181733131408691
