baseline,env,env_id,ES95,Mean,SharpeRisk,Turnover,mean_pnl,sharpe,turnover,cvar,cvar_lower,cvar_upper
no_hedge,crisis,3,63.17763137817383,-1.4869006872177124,-1.0656417608261108,0.0,1.4869006872177124,1.0656417608261108,0.0,63.17763137817383,54.79743404388428,70.32937736511231
delta,crisis,3,9.841283798217773,0.39728665351867676,0.08280383050441742,3.389587879180908,-0.39728665351867676,-0.08280383050441742,3.389587879180908,9.841283798217773,8.53229832649231,10.903966212272644
delta_gamma,crisis,3,9.93976879119873,0.39596065878868103,0.07299116253852844,3.4099767208099365,-0.39596065878868103,-0.07299116253852844,3.4099767208099365,9.93976879119873,8.654621863365174,11.05264732837677
